DATE,GDP
1/1/1975,237727
4/1/1975,237076
7/1/1975,237162
10/1/1975,242059
1/1/1976,244436
4/1/1976,247810
7/1/1976,250549
10/1/1976,252236
1/1/1977,255139
4/1/1977,255962
7/1/1977,258288
10/1/1977,260391
1/1/1978,263824
4/1/1978,266635
7/1/1978,268767
10/1/1978,271679
1/1/1979,274054
4/1/1979,275524
7/1/1979,279153
10/1/1979,279886
1/1/1980,281262.3
4/1/1980,279216.3
7/1/1980,279656.6
10/1/1980,279095.9
1/1/1981,279991.8
4/1/1981,281950.4
7/1/1981,283795
10/1/1981,285458.9
1/1/1982,287846.5
4/1/1982,289807.1
7/1/1982,289781.5
10/1/1982,291494.4
1/1/1983,292716
4/1/1983,292779.9
7/1/1983,293076.4
10/1/1983,294871.9
1/1/1984,296073.1
4/1/1984,297311.1
7/1/1984,299408
10/1/1984,299186.1
1/1/1985,299981.2
4/1/1985,302691.4
7/1/1985,304261.9
10/1/1985,305564.4
1/1/1986,306646.7
4/1/1986,310049.5
7/1/1986,311536.8
10/1/1986,311870.2
1/1/1987,312335.9
4/1/1987,316890.5
7/1/1987,319119.7
10/1/1987,323714.9
1/1/1988,327669.3
4/1/1988,330442.8
7/1/1988,334705.4
10/1/1988,337623.9
1/1/1989,341630.1
4/1/1989,345658.2
7/1/1989,349375.8
10/1/1989,353971.6
1/1/1990,355479.9
4/1/1990,357308.3
7/1/1990,359098.2
10/1/1990,359086.6
1/1/1991,359541.3
4/1/1991,360979.7
7/1/1991,361764.6
10/1/1991,364252.3
1/1/1992,367080.4
4/1/1992,367356.1
7/1/1992,367172.6
10/1/1992,366486.2
1/1/1993,364095.8
4/1/1993,363963.9
7/1/1993,364639.8
10/1/1993,365459.5
1/1/1994,367905.2
4/1/1994,371635.5
7/1/1994,374803.8
10/1/1994,378277
1/1/1995,379478.6
4/1/1995,381862.2
7/1/1995,382509.5
10/1/1995,382508.1
1/1/1996,385213.1
4/1/1996,385637.4
7/1/1996,387627.9
10/1/1996,388616.4
1/1/1997,389960.6
4/1/1997,393868.6
7/1/1997,397738.6
10/1/1997,401657.3
1/1/1998,405418
4/1/1998,408677.2
7/1/1998,411690.2
10/1/1998,414403.1
1/1/1999,418823.4
4/1/1999,419985.5
7/1/1999,424655.9
10/1/1999,430713.5
1/1/2000,435173.9
4/1/2000,439678.1
7/1/2000,442723.6
10/1/2000,446344.1
1/1/2001,448541.4
4/1/2001,449124.4
7/1/2001,450343.6
10/1/2001,450050.2
1/1/2002,452588.9
4/1/2002,454442.5
7/1/2002,455552.4
10/1/2002,456598.9
1/1/2003,457028
4/1/2003,456096
7/1/2003,459159
10/1/2003,462261.5
1/1/2004,466755.9
4/1/2004,469496.4
7/1/2004,470765.7
10/1/2004,474311.2
1/1/2005,475380.6
4/1/2005,476704.3
7/1/2005,479340.9
10/1/2005,482540
1/1/2006,486233.4
4/1/2006,491293.5
7/1/2006,491700.7
10/1/2006,495254.3
1/1/2007,498843.3
4/1/2007,502249.9
7/1/2007,504616.5
10/1/2007,505565.7
1/1/2008,507996.9
4/1/2008,505231.6
7/1/2008,504400.7
10/1/2008,496781.2
1/1/2009,488301.7
4/1/2009,488238.9
7/1/2009,489133.2
10/1/2009,492588
1/1/2010,494261.5
4/1/2010,496677.9
7/1/2010,499850.6
10/1/2010,503156.6
1/1/2011,508362.2
4/1/2011,507888.7
7/1/2011,510458.3
10/1/2011,511339.5
1/1/2012,511455.3
4/1/2012,510718
7/1/2012,511950
10/1/2012,511310.5
1/1/2013,511680.7
4/1/2013,515097.3
7/1/2013,514670.9
10/1/2013,517989.3
1/1/2014,518020.9
4/1/2014,518525.9
7/1/2014,521498.8
10/1/2014,521261.5
1/1/2015,523977.3
4/1/2015,524604.4
7/1/2015,525807.7
10/1/2015,526844.3
1/1/2016,530091.7
4/1/2016,528520
7/1/2016,530075.8
10/1/2016,533182.4
1/1/2017,537084.5
4/1/2017,541424.4
7/1/2017,546027.2
10/1/2017,549308.2
1/1/2018,549666
4/1/2018,552128.9
7/1/2018,554222.2
10/1/2018,557478.7
1/1/2019,561168.7
4/1/2019,565084.2
7/1/2019,565199.5
10/1/2019,563750.2
1/1/2020,532280.3
4/1/2020,460027.6
7/1/2020,544781.5
10/1/2020,539801.8
1/1/2021,540109.9
4/1/2021,545867.8
7/1/2021,564121.9
10/1/2021,567390.8
1/1/2022,566103.1
4/1/2022,568945.4
7/1/2022,569903.6
10/1/2022,570331.7
